occurrenceID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,3,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,81,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,11,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,10,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,4,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,4,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,64,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,11,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002_011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003_001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003_002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003_003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,17,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003_004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003_005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
