"","Name","Date","region","site","reef.name","reef.area","understory","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CD","Taxa","value","abundance"
"1","IMG_5108 00002.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"2","IMG_5108 00002.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"3","IMG_5110 00004.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"4","IMG_5110 00004.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"5","IMG_5114 00007.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"6","IMG_5114 00007.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"7","IMG_5115 00008.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"8","IMG_5115 00008.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"9","IMG_5126 00016.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"10","IMG_5126 00016.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"11","IMG_5127 00017.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"12","IMG_5127 00017.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"13","IMG_5130 00019.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"14","IMG_5130 00019.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"15","IMG_5131 00020.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"16","IMG_5131 00020.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"17","IMG_5135 00023.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",3,NA
"18","IMG_5135 00023.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",3,3
"19","IMG_5137 00025.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"20","IMG_5137 00025.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"21","IMG_5139 00027.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"22","IMG_5139 00027.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"23","IMG_5145 00033.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"24","IMG_5145 00033.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
