eventID,parentEventID,eventDate,country,locality,sampleSizeValue,sampleSizeUnit,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS,,,ARGENTINA,PTOPIRAMIDES,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS,,ARGENTINA,PTOPIRAMIDES,,,,,16,25,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
