sppList
Corynactis carnea
Ascidiacea
Corallinophycidae
Phaeophyceae
Lissoclinum fragile
Demospongiae
Darwinella rosacea
Rhodymeniophycidae
Pseudechinus magellanicus
Ascidiella aspersa
Paramolgula gregaria
Polychaeta
Leucippa pentagona
Tegula patagonica
Pleurobranchaea maculata
Corella eumyota
Lithophaginae
Phrikoceros mopsus
Ulva
Terebellidae
Cycethra verrucosa
Doris fontainii
Cosmasterias lurida
Ralfsiales
Helcogrammoides cunninghami
Diplosoma listerianum
Dictyota dichotoma
Arbacia dufresnii
Codium
Asterocarpa humilis
Aulacomya atra
Halcurias
Cliona
Clathria
Bryozoa
Sebastes oculatus
Calcarea
Austromegabalanus psittacus
Ribeiroclinus eigenmanni
Pachycheles chubutensis
Lomentaria clavellosa
Fissurellidea patagonica
Odontaster penicillatus
Aequipecten tehuelchus
Anthothoe chilensis
Ophioplocus januarii
Heterobranchia
Ciona intestinalis
Hydrozoa
Diaulula punctuolata
Calliostoma
Magellania venosa
Ciona robusta
Parabunodactis imperfecta
Fissurella radiosa tixierae
Aplidium
Polycera marplatensis
Trapania
Tripalea clavaria
Undaria pinnatifida
Metridium senile
Myxicola
Allostichaster capensis
Patagonotothen
Corallina officinalis
Colpomenia sinuosa
