sppList
Ascidiella aspersa
Aulacomya atra
Anthothoe chilensis
Aplidium
Austromegabalanus psittacus
Asterocarpa humilis
Corella eumyota
Aequipecten tehuelchus
Magellania venosa
Bryozoa
Corynactis carnea
Ciona intestinalis
Ascidiacea
Ciona robusta
Lithophaginae
Diplosoma listerianum
Halcurias
Hydrozoa
Lissoclinum fragile
Metridium senile
Myxicola
Paramolgula gregaria
Parabunodactis imperfecta
Clathria
Cliona
Demospongiae
Darwinella rosacea
Tripalea clavaria
Terebellidae
Polychaeta
Ralfsiales
Corallinophycidae
Codium
Corallina officinalis
Colpomenia sinuosa
Dictyota dichotoma
Rhodymeniophycidae
Lomentaria clavellosa
Phaeophyceae
Ulva
Undaria pinnatifida
Calcarea
Pseudechinus magellanicus
Tegula patagonica
Leucippa pentagona
Arbacia dufresnii
Patagonotothen
Ribeiroclinus eigenmanni
Helcogrammoides cunninghami
Pachycheles chubutensis
Doris fontainii
Diaulula punctuolata
Allostichaster capensis
Polycera marplatensis
Fissurellidea patagonica
Fissurella radiosa tixierae
Phrikoceros mopsus
Cosmasterias lurida
Sebastes oculatus
Trapania
Cycethra verrucosa
Pleurobranchaea maculata
Ophioplocus januarii
Odontaster penicillatus
Calliostoma
Heterobranchia
