Original_Name,Group,LSID,AphiaID_accepted,ScientificName_accepted,Authority_accepted,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies
Aequipecten tehuelchus,Mollusca,urn:lsid:marinespecies.org:taxname:394229,394229,Aequipecten tehuelchus,"(d'Orbigny, 1842)",Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,,tehuelchus,
Allostichaster capensis,Echinodermata,urn:lsid:marinespecies.org:taxname:178784,178784,Allostichaster capensis,"(Perrier, 1875)",Animalia,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Allostichaster,,capensis,
Anthothoe chilensis,Cnidaria,urn:lsid:marinespecies.org:taxname:289437,289437,Anthothoe chilensis,"(Lesson, 1830)",Animalia,Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,,chilensis,
Aplidium sp ,Chordata,urn:lsid:marinespecies.org:taxname:103471,103471,Aplidium,"Savigny, 1816",Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,,,
Arbacia dufresnii,Echinodermata,urn:lsid:marinespecies.org:taxname:160786,160786,Arbacia dufresnii,"(Blainville, 1825)",Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,,dufresnii,
Ascidiella aspersa,Ascidiacea,urn:lsid:marinespecies.org:taxname:103718,103718,Ascidiella aspersa,"(Müller, 1776)",Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,,aspersa,
Asterocarpa humilis,Ascidiacea,urn:lsid:marinespecies.org:taxname:250047,250047,Asterocarpa humilis,"(Heller, 1878)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Asterocarpa,,humilis,
Aulacomya atra,Mollusca,urn:lsid:marinespecies.org:taxname:505963,505963,Aulacomya atra,"(Molina, 1782)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Aulacomya,,atra,
Austromegabalanus psittacus,Arthropoda,urn:lsid:marinespecies.org:taxname:535006,535006,Austromegabalanus psittacus,"(Molina, 1788)",Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Austromegabalanus,,psittacus,
Bare Substrate,Substrate,,,Bare Substrate,,,,,,,,,,
brown encrusting algae,Algae,urn:lsid:marinespecies.org:taxname:163325,163325,Ralfsiales,,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,,,,,
Bryozoan,Bryozoa,urn:lsid:marinespecies.org:taxname:146142,146142,Bryozoa,,Animalia,Bryozoa,,,,,,,
Heterobranchia,Mollusca,urn:lsid:marinespecies.org:taxname:14712,14712,Heterobranchia,,Animalia,Mollusca,Gastropoda,,,,,,
Calliostoma,Mollusca,urn:lsid:marinespecies.org:taxname:138584,138584,Calliostoma,"Swainson, 1840",Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,,,
Ciona intestinalis,Ascidiacea,urn:lsid:marinespecies.org:taxname:103732,103732,Ciona intestinalis,"(Linnaeus, 1767)",Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona,,intestinalis,
Ciona robusta,Ascidiacea,urn:lsid:marinespecies.org:taxname:252565,252565,Ciona robusta,"Hoshino & Tokioka, 1967",Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona,,robusta,
Clathria sp ,Porifera,urn:lsid:marinespecies.org:taxname:131868,131868,Clathria,"Schmidt, 1862",Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,,,
Cliona sp ,Porifera,urn:lsid:marinespecies.org:taxname:132026,132026,Cliona,"Grant, 1826",Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,,,
Codium vermilara fragile,Algae,urn:lsid:marinespecies.org:taxname:143999,143999,Codium,"Stackhouse, 1797",Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,,,
Colonial tunicate,Aplousobranchia,urn:lsid:marinespecies.org:taxname:103434,103434,Ascidiacea,"Blainville, 1824",Animalia,Chordata,Ascidiacea,Aplousobranchia,,,,,
