Taxa
Aequipecten tehuelchus
Allostichaster capensis
Anthothoe chilensis
Aplidium sp.
Arbacia dufresnii
Ascidiacea
Ascidiella aspersa
Asterocarpa humilis
Aulacomya atra
Austromegabalanus psittacus
Bryozoa
Calcarea
Calliostoma
Ciona intestinalis
Ciona robusta
Clathria sp.
Cliona sp.
Codium 
Colpomenia sinuosa
Corallina officinalis
Corallinophycidae
Corella eumyota
Corynactis carnea
Cosmasterias lurida
Cycethra verrucosa
Darwinella cf. rosacea
Demospongiae 1
Demospongiae 2
Demospongiae 3
Demospongiae 4
Demospongiae 5
Diaulula punctuolata
Dictyota dichotoma
Diplosoma listerianum
Doris fontainii
Fissurella radiosa tixierae
Fissurellidea patagonica
Halcurias sp.
Helcogrammoides cunninghami
Hydrozoa
Heterobranchia 
Leucippa pentagona
Lissoclinum fragile
Lithophaginae
Lomentaria clavellosa
Magellania venosa
Metridium senile
Myxicola
Odontaster penicillatus
Ophioplocus januarii
Pachycheles chubutensis
Parabunodactis imperfecta
Paramolgula gregaria
Patagonotothen
Phaeophyceae
Phaeophyceae
Phrikoceros mopsus
Pleurobranchaea maculata
Polycera marplatensis
Pseudechinus magellanicus
Ralfsiales
Ribeiroclinus eigenmanni
Sebastes oculatus
Tegula patagonica
Terebellidae
Trapania
Tripalea clavaria
Ulva sp.
Undaria pinnatifida
Polychaeta
